1#dock#0,06#dock#
2#auto#0,56#auto#
3#auto#1,48#auto#
4#manual#0,23#manual#
5#dock#1,4#dock#
6#dock#0,55#dock#
7#auto#2,02#auto#
8#dock#1,75#dock#
9#dock#0,39#dock#
10#auto#0,23#auto#
11#dock#2,12#dock#
12#dock#2,02#dock#
13#dock#2,43#dock#
14#dock#1,38#dock#
15#auto#1,44#auto#
16#dock#1,65#dock#
17#auto#2,14#auto#
18#dock#0,69#dock#
19#manual#0,93#manual#
20#auto#1,75#auto#
21#manual#1,34#manual#
22#dock#1,16#dock#
23#auto#1,71#auto#
24#dock#2,05#dock#
25#manual#0,67#manual#
26#dock#0,53#dock#
27#dock#2,21#dock#
28#manual#0,66#manual#
29#dock#1,87#dock#
30#manual#0,9#manual#
31#auto#0,23#auto#
32#manual#0,38#manual#
33#dock#1,49#dock#
34#dock#1,49#dock#
35#auto#2,43#auto#
36#dock#1,7#dock#
37#dock#1,92#dock#
38#manual#0,73#manual#
39#dock#0,01#dock#
40#auto#1,27#auto#
41#dock#2,1#dock#
42#manual#0,38#manual#
43#dock#1,5#dock#
44#dock#0,28#dock#
45#manual#0,6#manual#
46#dock#0,21#dock#
47#dock#2,44#dock#
48#dock#0,32#dock#
49#dock#0,66#dock#
50#manual#2,41#manual#
51#dock#3#dock#
52#Speeder#30#manual
